Campaign ID,Creator Name,Wallet Address,Transaction Hash,Amount (XLM),Timestamp,Status
5,Priyanka Sharma,G8J2Y4AUPZUF578990MR6W07YH7S5THG2DMN2PMLJHHGFD7VG4IL586X,90aebbc825c7f5abc4075f78657a586c75add631edf23222b2baf8ec0810b563,511,2026-08-12T10:49:00Z,Success
9,John Kumar,GJLPSI7GZHO1F9OSLOZGHLHCVDDEK085Q71BZNAI5Z2NBFCEENEF5VYN,427dc69fa286abe76b5c0dafc81332d5d47079d3d463dd8220b705e9bfbacd7c,260,2026-08-09T10:40:00Z,Success
8,Simran Harris,GJWWI1A30LGNXD3E8AHUZG2S1ZRQLGJY18TPR9F0JD0RQWXDCVV7FY8S,04221d48e768d4fccff7d4ed2effef31c34d37f12c7d321cf7816e67807146d1,821,2026-08-08T10:03:00Z,Success
3,Robert Williams,G7GDNYCUWVU0FO8NM4AU89345N2L9EUNCL9SEFFCZX8YR8JQO8TSKYKU,fee24eabecea9f778507c722a3fb63421efda33ed31d8f41ff843fd3ed8b4b19,821,2026-08-06T10:50:00Z,Success
9,James Patel,GEUNO7KZSYV06G8HF1E867ZLJJZ8DPR74KO4SLVO3CP7VA5USNOOAMUD,880103426e52377270c7db3dd56bc90ee643a18bfaa143ffbdfa07f81377d9da,664,2026-08-07T10:23:00Z,Success
1,Alex White,GLDR5GO2QUP4W35MJB7B43IVLEQ33DGFGYZ1Q1NEKPP6HO6U4PIHGICM,2980459f97dd5e41ad4282a898819ec803a65bb8c6412ffaa026f8e0d5a0a7b7,334,2026-08-01T10:09:00Z,Success
10,Amit Gupta,GGY2M9YUMILIJAYUI9NKPLB2MFA45QATJCU636LHBCJAR1CQDKM3IQYQ,1592d508e7ff0e32ae79133f258ff07cff6a40db8cf9d95ef4d59421a1c0acc8,767,2026-08-12T10:38:00Z,Success
3,James Joshi,GG2KZR7J37G4BPNIOXSAP9OJH1X88L3VYY960W11PDNP668KX4I8VRBS,b8f01f3cc3f2485640279b86c3ba7b18c0160b9e47b97d5467037a98856e0971,885,2026-08-14T10:28:00Z,Success
8,Aditi Das,GYUGR4ASUXGYA47NZA36A2XRWQA9VW7F6XBCQLSJP8U7538057A04G0R,7a3a101fa13ea013b20864ef818f6f49d16b7095ba4845ad5d367d0551ca9745,264,2026-08-03T10:01:00Z,Success
9,Anjali Harris,GB58DBJJ165L5S8C1OLM1QPW0PK7U7MCJGR6VMLF4KRA6O1IWMI6OXQD,7445f9b0c80087ee347466b0d47cbb5b0c6951cf7c122b54f14c52b039aa3292,801,2026-08-09T10:18:00Z,Success
7,William Patel,GHXGATJ2CJS3788IQ7F9TPJWYK4EL70XVO7XRL5931QH3JGPKDKBACIM,88d892ba730a3e1cf165ddb5dce2d784bbeff3fcba8d41cc1252ad420c24e67d,319,2026-08-08T10:08:00Z,Success
3,Shruti Rao,GPPR1UDM2J7I8MBXNYVPNUE5XC6CU3NZU66LAV9YT98R19YRW2MXBT9N,4a158376b69931318170f7d31134950f417ec2b770ed93a34db1e015fcd54ae2,163,2026-08-14T10:17:00Z,Success
8,Shruti Singh,GMEBRR1D42A88ZH1MC9BXJP9BTRN5AETZAALQQB1QJ2OL20SFZWN7822,64f5db00930644fffdf9bad7439cad6bedf0fd1506e29a60dd354b7fef6e4842,710,2026-08-09T10:47:00Z,Success
10,Akash Wilson,G8JKHLDOOG2YKUHC6ZRPT5WCYBBF41P5A6KKURCFD49U4SPKATSEBSHO,446158de2033040e87dd62315ff2ff38ca93a39fc6eb66307d142577aa33608c,789,2026-08-09T10:40:00Z,Success
6,Divya Miller,GNSQWSNOT6LADLWCVG0LBUSOZ4WBUGWUA4OJGQP4SIWNPM5L4VLMK49M,4dbf4407b14686db487aeee3c040a62bd9a3d5f5e090180f2d8a659d187822a0,551,2026-08-07T10:03:00Z,Success
5,Aditi Davis,G2EA23UC0AIHG53MCZR3I3CHL5U4J2FFGUTXRH1O07SSQ2ONWBI9YPI2,fd0cfa3627ba317a7e4364ae2aa682a7d204569741fee5abc552fb0951632bfc,824,2026-08-01T10:00:00Z,Success
9,Prashant Sharma,GUR91CHMGLI3NEW7H2DF4HDB2OBIHLQFJVO5IL8ALRU0CO87QCN2YHZX,5c47fa98c7be0911a1000550711e16ad057180bf9e409f0fe635581f7e1d12a9,312,2026-08-06T10:32:00Z,Success
4,Pooja Jackson,GVSG95E33XL6FXJLJ5JT7GC6BRYGIFI2V1S8GS7BOW7DL915HDJOR0BW,8781189b91fc9da2b3517269f1f895c85a9f32777800eb3e65b964c2c12bd082,626,2026-08-12T10:23:00Z,Success
1,Amit Singh,G4B96QCNQK21WST95HZS357LOZKPTD3UGJAA375I1KHYG780YJF7WG4Z,3f3321e7cd4580f22abd482f6c00c9aea9db9a254dacfd99cee10de9e3a840b9,859,2026-08-08T10:15:00Z,Success
4,Neha Singh,GY6N3LFT6VVWOXVAU07Z6CKZF1OWND1UL3V2M6D8EBSPKFRKBTJTII2F,929aba41f9545f4d55210e12726710e82ed1744e6e1884a3c55bd3969af84158,359,2026-08-14T10:10:00Z,Success
6,Divya Verma,GEUUJAKIJ58ICU9KU0RS7DOZF85Z3JDHQBKEH89YW59035R7MWR7YWB6,def196f51984b0189c83b804a149b0f7196e404d5d1a2f85d93ebc0f70187312,704,2026-08-05T10:47:00Z,Success
4,Suraj Kumar,G6CCKFM13WK7HL3T1UNLHZXMKSX5IUCL4345J5TLNNI8WBV6Q9YFPJFV,6521b8ad23ad64288cdf41f14804a80720a798d6b7e056f92acc402a2262f2d1,145,2026-08-05T10:33:00Z,Success
8,Shruti Patel,GIVQ70ZTRW0I8JWG8WZ23F2KEKZC8NRI34AF6N67CM1GRNBJIFVLDKO3,8fc6b88da90692b588bc0f17063cfb34bdf292fd42305e713fbcb19f0e568742,875,2026-08-05T10:42:00Z,Success
1,Raj Patel,GHIZEIBPV7WVP9IHD5EOUWEJ9P61WJEFX1RZR9PF6AD4WA1JC7Y97T05,e210780977c976c1675fecfef27498e00921e869a8251c94920bffcd887b75b4,402,2026-08-07T10:33:00Z,Success
4,Amanda Wilson,GSFRCB7CGL949JHTP1D80V5SHWV41MVHUMBA2DE5EL2IKUI52HBPYNZV,95e385b0a6c7aa50268c73e57ab58ec5d7d244d4a41790b6786a48cffb587716,967,2026-08-02T10:02:00Z,Success
5,Jessica Joshi,G1KBRUY48MJU9M5HUWZS5OEVT5UL4CU889385G15YXY265Q0FI222E2K,a1957794e257a2e66322b57f0b5a9203112dd31814bd617df91f6c6b44b42697,147,2026-08-08T10:45:00Z,Success
3,Rohan Rao,GXNY799AYFSDANBG8A4IE0D154O69Z4AT6SZIVLCWVJD73B09ZPHJNL7,8a7680ba988739406233f730b689577f58093f71485cc8876d8e61bdbb6dd3b4,556,2026-08-07T10:10:00Z,Success
8,Divya Rao,GJFS6WJLT12JIYMC72OL2ELXDBXANILYB8VM00XDHDMQU8OER8NQZUYZ,6d41c5fa5aa82ad0bac569572a4acae07ba576f053b308821f0d222d9ac45204,257,2026-08-04T10:14:00Z,Success
3,Rahul Chopra,GLQ7I5SZDIORCUAT8JAR1WLZILWUDCLGQLC1H6Z1IOSYN0Y3ZY15THKD,e5632c241fc2611e7548e3033aef09d391980a6552c5a25f4e74785c82e4750d,559,2026-08-08T10:27:00Z,Success
1,Kriti Johnson,GY04Y7QIETV2CX3D17I6PEB6II0L4SMJXTYVJRNRORRM0M8YQQK0N12T,417154936a344a24443436be3ede9a502e4a3aa2dd87095c62356229458eba62,929,2026-08-10T10:31:00Z,Success
1,Arjun Mehta,GT6EHVCAXYW5Q5R6CF91UONRNEBOINI0DUNFLHNYL4AK5UBAWP0830OK,2f71a5a231e4f7d47b57b081e745d2d88d1add53d79e1ac924018a3a0a584d50,443,2026-08-13T10:33:00Z,Success
9,Kriti Sharma,GL3ZY63WIM3PP86WXML1HYLVIY82COD4EYSW3I31U1B08GQC6UXMY81H,05f91844478b7f641a47b95b27f6b9f5af2c639d5e71936fbfd98a85375b0e81,388,2026-08-06T10:55:00Z,Success
4,Simran Taylor,G4CE3EQOVV3PE60ULKM2SA45079A5J30WOMESDP1NWTZ2C87X0AMBROB,baffb6f52947bb509f1e2419d344c13c8ec99de4b9f80f89015c655b6fe8375c,682,2026-08-09T10:13:00Z,Success
6,William Das,G6CHRE8Z7PKM6YV1U2R5KNZA5EWJP9CPDI2XTIRSAGLKIL215X9GTCFK,2399a8c0f84c2d9cdbd8da3d07feb93c1b0581dd96d5a557d1a782189820d452,975,2026-08-15T10:16:00Z,Success
3,Anjali Verma,G7TRJBCCITHAZ8BWHM5H7TS06PPPI4Q9J7507GPSTTEPP5EHH797THAY,a093bb77d6e2ddf16e9726f8fc8b251c08e9c8537145d0b29144de267716b626,223,2026-08-01T10:01:00Z,Success
